Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Alex Abrines,SG,24,OKC,75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-0.5,-1.7,-2.2,-0.1
Quincy Acy,PF,27,BRK,70,1359,8.2,0.525,0.8,0.164,3.1,17,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2,-0.2,-2.2,-0.1
Steven Adams,C,24,OKC,76,2487,20.6,0.63,0.003,0.403,16.6,13.9,15.3,5.5,1.8,2.8,13.2,16.7,6.7,3,9.7,0.187,2.2,1.1,3.3,3.3
Bam Adebayo,C,20,MIA,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.6,1.8,0.2,0.8
Arron Afflalo,SG,32,ORL,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009,-4.1,-1.8,-5.8,-0.7
Cole Aldrich,C,29,MIN,21,49,6,0.34,0,0.4,7,28.6,17.7,8.2,2,1.8,5.4,16.8,-0.1,0.1,0,-0.013,-7,0.1,-6.9,-0.1
LaMarcus Aldridge,C,32,SAS,75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,7.4,3.5,10.9,0.209,3,0.3,3.3,3.3
Jarrett Allen,C,19,BRK,72,1441,17.5,0.636,0.038,0.37,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8
Kadeem Allen,PG,25,BOS,18,107,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.039,-6.7,0.3,-6.4,-0.1
Tony Allen,SF,36,NOP,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.017,-4,-1.3,-5.2,-0.2
Al-Farouq Aminu,PF,27,POR,69,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.8,1.9,1.1,1.6
Justin Anderson,SF,24,PHI,38,519,13,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.5,-1.5,-2,0
Kyle Anderson,SF,24,SAS,74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.3,4.3,4.1,3
Ryan Anderson,PF,29,HOU,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,0.132,1,-0.8,0.2,1
Ike Anigbogu,C,19,IND,11,30,21.6,0.558,0,0.667,19,15,16.9,0,1.7,8.9,14.7,20.3,0.1,0,0.1,0.165,-4.1,-1.2,-5.4,0
Giannis Antetokounmpo,PF,23,MIL,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,0.207,3.9,1.9,5.8,5.4
Carmelo Anthony,PF,33,OKC,78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-1.9,-1.9,-3.8,-1.1
OG Anunoby,SF,20,TOR,74,1481,10,0.587,0.569,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,1.4,1.6,3,0.098,0.2,0.4,0.6,1
Ryan Arcidiacono,PG,23,CHI,24,304,7.3,0.55,0.756,0.146,0.3,8.8,4.4,15.5,2.1,0,23,8.1,0.1,0.2,0.3,0.04,-3.3,-0.7,-4.1,-0.2
Trevor Ariza,SF,32,HOU,67,2269,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7,14.4,2.6,2.8,5.3,0.113,0.8,0.7,1.5,2
Darrell Arthur,PF,29,DEN,19,141,8.4,0.559,0.489,0.064,2.4,9.5,6,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0,-0.011,-3.5,-1,-4.5,-0.1
Jamel Artis,SG,25,ORL,15,279,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,-0.1,0.1,0,-0.006,-4.3,-1.5,-5.9,-0.3
Omer Asik,C,31,TOT,18,182,3.1,0.397,0,0.591,5.5,22.2,14,2.1,0.5,1.9,24.5,8.7,-0.2,0.2,-0.1,-0.021,-8.1,0,-8.1,-0.3
D.J. Augustin,PG,30,ORL,75,1760,15.4,0.615,0.504,0.35,1.9,8.2,5,24.4,1.5,0,16.5,18.6,3.3,0.8,4.1,0.11,1.5,-2.5,-0.9,0.5
Luke Babbitt,SF,28,TOT,50,715,9.8,0.576,0.726,0.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15,0.5,0.4,0.9,0.06,-1,-2.2,-3.2,-0.2
Dwayne Bacon,SG,22,CHO,53,713,5.8,0.431,0.224,0.13,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.007,-5.4,-0.3,-5.7,-0.7
Ron Baker,SG,24,NYK,29,385,9.3,0.504,0.559,0.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10,0.1,0.4,0.5,0.059,-1.9,0.9,-1,0.1
Wade Baldwin,PG,21,POR,7,80,16.6,0.748,0.238,0.476,1.4,9.5,5.5,9.8,1.2,1,13.6,16.1,0.2,0.1,0.3,0.187,1.1,-1.1,0,0
Lonzo Ball,PG,20,LAL,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,0.053,-0.8,2.5,1.7,1.7
J.J. Barea,PG,33,DAL,69,1603,17.8,0.545,0.454,0.148,1,13.4,7,45.1,1.1,0.2,16.3,24.9,2.3,1,3.3,0.098,2.4,-2.3,0.1,0.8
Harrison Barnes,PF,25,DAL,77,2634,15.8,0.539,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2,1.9,3.8,0.07,-0.7,-1.4,-2.1,-0.1
Will Barton,SG,27,DEN,81,2683,16.2,0.562,0.411,0.22,3,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.6,1,2
Nicolas Batum,SG,29,CHO,64,1981,14.4,0.523,0.422,0.2,3.1,13.8,8.4,26.2,1.6,1,15.6,18.3,1.7,1.8,3.5,0.084,0.9,0.5,1.4,1.7
Jerryd Bayless,SG,29,PHI,39,925,7.5,0.546,0.557,0.168,1.8,7.3,4.7,8,1.2,0.5,14.1,15.1,0.2,0.9,1.1,0.055,-1.8,-1,-2.7,-0.2
Aron Baynes,C,31,BOS,81,1485,12.1,0.502,0.047,0.175,9.7,22.1,16,9.6,0.7,2.9,14.3,16.8,0.5,2.5,3,0.097,-3.8,2.1,-1.7,0.1
Kent Bazemore,SG,28,ATL,65,1789,14.5,0.547,0.405,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17,22.5,0.2,2,2.2,0.059,-0.6,1.1,0.4,1.1
Bradley Beal,SG,24,WAS,82,2977,18.4,0.564,0.357,0.248,2.3,11.5,6.9,21,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.112,2.7,-1,1.7,2.7
Malik Beasley,SG,21,DEN,62,583,9,0.509,0.461,0.185,2.7,11,6.9,7.4,1.3,1,11.1,16.2,0.1,0.3,0.3,0.028,-2.8,-2.4,-5.1,-0.5
Michael Beasley,PF,29,NYK,74,1653,17.8,0.556,0.107,0.197,6.5,21.2,13.9,12.5,1.1,2.3,14,26.9,0.9,1.5,2.4,0.069,-1,-0.4,-1.5,0.2
Marco Belinelli,SG,31,TOT,80,1947,14.1,0.582,0.518,0.214,1.1,7.3,4.2,11.9,1.6,0.5,10.1,20.7,2.4,1.3,3.7,0.092,0.8,-2.1,-1.3,0.3
Jordan Bell,C,23,GSW,57,809,18,0.641,0.022,0.238,8.9,19,14.3,16.9,2.1,5.5,20,13.9,1.6,1.4,2.9,0.174,0,3.7,3.7,1.2
DeAndre' Bembry,SF,23,ATL,26,455,7.6,0.477,0.234,0.258,2,15.7,8.8,15.9,2.3,2.3,24.8,18.2,-0.9,0.5,-0.4,-0.04,-5.9,1.5,-4.4,-0.3
Dragan Bender,PF,20,PHO,82,2069,7.1,0.524,0.665,0.105,2,16.8,9.3,8.9,0.5,2.1,18.1,12.7,-0.7,0.8,0.1,0.001,-2.7,0,-2.7,-0.4
Davis Bertans,PF,25,SAS,77,1086,14.1,0.588,0.689,0.134,1.8,13.9,7.8,10.3,1.2,2.1,8.5,17.4,1.6,1.4,3.1,0.135,1.2,-0.3,1,0.8
Patrick Beverley,SG,29,LAC,11,334,12.3,0.53,0.504,0.143,5.3,9.4,7.4,13.8,2.6,1.3,16.5,19.6,0.1,0.3,0.4,0.054,0.4,0.2,0.6,0.2
Khem Birch,C,25,ORL,42,578,16.4,0.582,0,0.484,13.2,21.1,17.1,8.5,1.3,2.9,12.1,13.2,1.2,0.6,1.8,0.15,-1.1,1.4,0.3,0.3
Jabari Bird,SG,23,BOS,13,115,12.1,0.615,0.269,0.5,5.8,12.2,9,10.5,1.3,0.7,20.1,15.4,0.1,0.2,0.2,0.098,-2.3,0.1,-2.1,0
Bismack Biyombo,C,25,ORL,82,1495,14.1,0.556,0.003,0.446,10.5,24,17.2,6.5,0.7,5.1,16.6,14.9,1.1,1.8,2.9,0.094,-3.7,2.1,-1.6,0.2
Nemanja Bjelica,PF,29,MIN,67,1371,12.6,0.581,0.493,0.121,4.4,18.8,11.5,8.7,1.8,1,11.7,14.3,1.7,1.1,2.8,0.097,0.6,-0.1,0.5,0.9
Tarik Black,C,26,HOU,51,536,14.3,0.582,0.087,0.496,13.4,20.9,17.1,3.7,1.9,4.8,18.4,15.6,0.5,1,1.5,0.136,-3,2.1,-1,0.1
Antonio Blakeney,SG,21,CHI,19,314,10.1,0.471,0.364,0.273,1.3,10.3,5.6,10.1,1.1,0.3,6.4,23.7,-0.2,0.1,0,-0.006,-3.2,-3.6,-6.8,-0.4
Eric Bledsoe,PG,28,TOT,74,2322,19.7,0.582,0.364,0.322,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,3.1,2.5,5.6,0.116,2.4,-0.3,2.1,2.4
Vander Blue,SG,25,LAL,5,45,-1.8,0.255,0.4,0.4,0,2.3,1.2,8.2,1.1,0,33.8,8.4,-0.1,0,-0.1,-0.103,-8.7,-1.3,-10,-0.1
Bogdan Bogdanovic,SG,25,SAC,78,2175,13.5,0.556,0.426,0.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,1.8,1.1,2.9,0.064,0.5,-1.5,-1,0.6
Bojan Bogdanovic,SF,28,IND,80,2464,13.9,0.605,0.453,0.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19,3.8,1.6,5.4,0.105,1.1,-1.9,-0.7,0.8
Andrew Bogut,C,33,LAL,23,216,10.9,0.696,0,0.08,12.9,25.4,19.2,9.1,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0.094,-3.6,3.6,0,0.1
Joel Bolomboy,PF,24,MIL,6,38,11.7,0.521,0.167,1,18.6,12.3,15.4,0,2.6,0,18.8,12.6,0,0,0.1,0.079,-3.1,-4.6,-7.7,-0.1
Devin Booker,SG,21,PHO,54,1865,18.1,0.561,0.364,0.312,1.5,12.7,7,24.4,1.2,0.6,13.9,31.7,1.9,0.6,2.4,0.063,2.9,-2.4,0.4,1.2
Trevor Booker,PF,30,TOT,68,1158,14.9,0.557,0.096,0.271,11.1,18.6,14.9,10.8,1.2,1.5,13.3,16.6,1.6,1.3,2.9,0.121,-1,0.5,-0.5,0.4
Chris Boucher,PF,25,GSW,1,1,-28.5,0,1,0,0,100,55.9,0,0,0,0,43.9,0,0,0,-0.899,-38.9,-20.1,-59,0
Avery Bradley,SG,27,TOT,46,1433,9.6,0.496,0.325,0.131,1.7,7.3,4.5,10.4,1.8,0.5,13.3,23.5,-1.4,1.2,-0.2,-0.007,-2.8,-1.4,-4.2,-0.8
Tony Bradley,C,20,UTA,9,29,9.5,0.337,0.091,0.182,15.8,27.1,21.5,5,0,0,0,18.4,0,0,0,0.033,-6.6,-3,-9.6,-0.1
Corey Brewer,SF-SG,31,TOT,72,1208,11.2,0.534,0.348,0.285,3.8,10,6.9,7.5,3.2,1,12.1,14.3,0.7,1.6,2.3,0.091,-1.6,1,-0.6,0.4
Malcolm Brogdon,PG,25,MIL,48,1436,14.3,0.578,0.32,0.169,1.9,10.8,6.4,16.3,1.4,0.8,10.9,19.1,2,0.7,2.7,0.091,0.6,-1.9,-1.3,0.2
Aaron Brooks,PG,33,MIN,32,189,9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-0.8,-3.6,-4.3,-0.1
Dillon Brooks,SF,22,MEM,82,2350,9.8,0.531,0.342,0.215,2.4,10.5,6.3,9.3,1.6,0.7,12.8,18.5,0.1,1.1,1.2,0.024,-1.8,-1.3,-3.1,-0.7
MarShon Brooks,SG,29,MEM,7,193,26.1,0.629,0.314,0.225,4.7,8,6.3,25.9,2.9,1.5,12.5,29.8,0.6,0.2,0.7,0.179,5.7,-1.7,4.1,0.3
Anthony Brown,SF,25,MIN,1,4,41.9,1.5,1,0,0,0,0,41.7,0,0,0,11.1,0,0,0,0.571,17.1,-15,2.1,0
Bobby Brown,PG,33,HOU,20,115,5.5,0.425,0.69,0.034,0,6.8,3.4,15,1.7,0,13.3,26.1,-0.3,0.1,-0.2,-0.08,-5,-4.2,-9.3,-0.2
Jaylen Brown,SG,21,BOS,70,2152,13.6,0.562,0.381,0.29,3.4,14,8.8,8.5,1.6,1,12,21.4,1.2,3.2,4.5,0.1,-0.6,0.4,-0.2,1
Lorenzo Brown,PG,27,TOR,14,139,8.2,0.459,0.353,0.059,0.8,11.1,6,12.4,1.8,0,7.9,11.9,0,0.1,0.2,0.06,-2.8,-0.2,-3,0
Markel Brown,SG,26,HOU,4,31,-1.2,0.357,0.714,0,3.7,14.4,9.1,8.7,0,0,22.2,12.8,-0.1,0,0,-0.063,-6.7,-1.7,-8.4,-0.1
Sterling Brown,SG,22,MIL,54,776,9.1,0.503,0.444,0.117,4.1,17.5,10.8,4.5,2,1.4,10.4,14,0,0.7,0.7,0.043,-3.1,-1,-4,-0.4
Nicolas Brussino,SF,24,ATL,4,10,-4.6,0,1,0,0,33.5,16.7,0,0,0,0,8.7,0,0,0,-0.18,-13.8,-4.7,-18.5,0
Thomas Bryant,C,20,LAL,15,72,9.9,0.441,0.476,0.429,4.5,20.6,12.6,11.5,0.7,2.3,7.4,15.9,0,0.1,0.1,0.05,-3.8,-0.4,-4.2,0
Reggie Bullock,SF,26,DET,62,1732,13.6,0.615,0.515,0.09,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,2.8,1.4,4.2,0.117,1.3,-0.7,0.7,1.2
Trey Burke,PG,25,NYK,36,785,21,0.563,0.273,0.148,1.8,8.2,5,36.4,1.5,0.4,9.5,25.1,2,0.3,2.4,0.145,4.2,-3.2,1,0.6
Alec Burks,SG,26,UTA,64,1059,13.1,0.527,0.343,0.3,2.1,18.4,10.3,10,1.8,0.6,11.4,22.5,0.2,1.6,1.9,0.084,-2.5,-0.3,-2.8,-0.2
Jimmy Butler,SG,28,MIN,59,2164,23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1,8.9,24.9,7.1,1.8,8.9,0.198,4.9,0.1,5,3.8
Dwight Buycks,PG,28,DET,29,427,12.8,0.498,0.227,0.207,3,7.7,5.3,22.4,2.2,0.4,15.3,26.4,-0.2,0.4,0.2,0.027,-2.5,-1.8,-4.3,-0.2
Bruno Caboclo,SF,22,TOT,12,107,7.7,0.386,0.548,0.194,7.1,16.6,11.7,6.3,1.4,3.5,10.6,15.8,-0.1,0.1,0,-0.017,-4.7,-0.2,-4.9,-0.1
Jose Calderon,PG,36,CLE,57,914,11.3,0.643,0.524,0.162,1.7,8.5,5.2,17.4,1.4,0.2,17.1,11.6,1.5,0.3,1.8,0.095,0.1,-2,-1.9,0
Kentavious Caldwell-Pope,SG,24,LAL,74,2458,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.103,0.6,0.4,1,1.9
Isaiah Canaan,PG-SG,26,TOT,20,422,13.5,0.539,0.482,0.372,1.5,10,5.7,26.7,1.8,0.2,15.4,18.9,0.5,0.1,0.6,0.072,0.1,-2.5,-2.4,0
Clint Capela,C,23,HOU,74,2034,24.5,0.65,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,6.2,4.1,10.2,0.242,0.1,2.9,3,2.6
DeMarre Carroll,SF,31,BRK,73,2180,14.3,0.55,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1,10.3,19.8,2.3,1.8,4.1,0.091,0.4,-0.3,0.2,1.2
Vince Carter,SF,41,SAC,58,1026,10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,0.056,-1.5,0.4,-1.1,0.2
Michael Carter-Williams,PG,26,CHO,52,835,10.8,0.446,0.258,0.389,4.7,13.3,8.9,19.4,2.6,2.3,16.2,16.6,-0.2,1.1,0.9,0.05,-2.6,2,-0.6,0.3
Alex Caruso,PG,23,LAL,37,562,8.7,0.519,0.371,0.259,2.9,9.4,6.2,17.8,2,1.4,24.5,12.9,-0.1,0.6,0.5,0.041,-3.4,0.5,-2.9,-0.1
Omri Casspi,SF,29,GSW,53,740,15.5,0.632,0.106,0.333,4.9,24,15.1,9.5,1.2,2,13.5,16.3,1.2,1,2.2,0.14,-1.5,0,-1.4,0.1
Willie Cauley-Stein,C,24,SAC,73,2044,17.6,0.529,0.016,0.32,7,22,14.2,13.7,1.9,3.1,11,21.8,1.7,2.2,3.9,0.092,-1.3,1.7,0.4,1.2
Tyler Cavanaugh,PF,23,ATL,39,518,13,0.567,0.586,0.138,9.7,17.7,13.7,7.8,0.8,0.7,8,14.8,0.9,0.3,1.2,0.109,0.5,-1.5,-1,0.1
Mario Chalmers,PG,31,MEM,66,1421,10.4,0.503,0.431,0.312,1,12,6.4,21.5,2.8,0.9,18.8,19.6,-0.6,1.3,0.6,0.021,-2.2,-0.5,-2.7,-0.3
Tyson Chandler,C,35,PHO,46,1151,14.2,0.657,0,0.503,12.2,26.8,19.4,6.6,0.7,1.9,20.5,10.6,1.9,0.8,2.7,0.111,-1.3,1,-0.3,0.5
Wilson Chandler,SF,30,DEN,74,2346,11,0.542,0.39,0.181,4.9,14.1,9.6,9.5,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.067,-0.5,-0.4,-0.9,0.6
Marquese Chriss,PF,20,PHO,72,1527,11.1,0.509,0.398,0.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,-0.8,1.5,0.7,0.023,-3.3,1.3,-2,0
Ian Clark,SG,26,NOP,74,1455,9.4,0.529,0.394,0.119,0.8,8.4,4.7,10.4,1.1,0.5,9.9,17.2,0.3,0.8,1.1,0.037,-2,-2,-3.9,-0.7
Jordan Clarkson,SG,25,TOT,81,1888,16.4,0.542,0.333,0.199,3.3,9.1,6.2,19.3,1.5,0.3,10.9,26.5,1.9,1.2,3,0.077,0.8,-2.7,-1.9,0.1
Gian Clavell,SG,24,DAL,7,64,7.4,0.53,0.833,0.111,1.7,10.8,6.1,6.7,1.6,0,9.6,14.8,0,0,0.1,0.042,-1.7,-1.9,-3.6,0
Antonius Cleveland,SG,23,TOT,17,123,4.5,0.486,0.19,0.286,2.7,10.2,6.3,2.2,2.8,3.6,22.8,11.1,-0.2,0.2,0,-0.006,-6.7,2.2,-4.5,-0.1
John Collins,PF,20,ATL,74,1785,18.3,0.62,0.086,0.341,11,22.8,16.9,8.9,1.3,3.8,14.3,17.9,3.4,2,5.4,0.145,-0.2,1.9,1.7,1.7
Zach Collins,C,20,POR,66,1045,7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2,-0.3
Kyle Collinsworth,SF,26,DAL,32,480,10,0.433,0.172,0.404,7.2,18,12.4,16.4,1.8,1.7,17.1,13.3,-0.1,0.5,0.5,0.046,-4,2.2,-1.8,0
Darren Collison,PG,30,IND,69,2018,18.8,0.61,0.321,0.226,2.1,7.8,5,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,0.181,3.1,-1,2.2,2.1
Nick Collison,PF,37,OKC,15,75,13.2,0.627,0,0.684,10,19.9,14.8,8.2,0,0,22.1,18.2,0.1,0,0.1,0.064,-3.5,-2.9,-6.5,-0.1
Mike Conley,PG,30,MEM,12,373,15.4,0.52,0.458,0.393,0,8.6,4.2,22.2,1.6,0.8,8.4,25.9,0.4,0.2,0.6,0.077,1.2,-3.5,-2.3,0
Pat Connaughton,SG,25,POR,82,1488,9.3,0.539,0.538,0.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,1.2,1.3,2.5,0.08,-0.9,-0.4,-1.3,0.3
Quinn Cook,PG,24,GSW,33,740,12.8,0.593,0.413,0.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,1.1,0.4,1.6,0.101,0.6,-2.8,-2.2,0
Charles Cooke,SG,23,NOP,13,38,-5.1,0.202,0.571,0.143,0,5.5,2.9,3.2,1.3,0,6.3,18.1,-0.2,0,-0.2,-0.239,-10.8,-3.8,-14.6,-0.1
Jack Cooley,PF,26,SAC,7,87,19.7,0.566,0,0.704,17.6,21.9,19.6,10.5,0.6,0,7.8,19.8,0.3,0,0.3,0.182,0.9,-2.5,-1.6,0
Matt Costello,C,24,SAS,4,32,9.7,0.5,0,0,3.4,27.9,15.6,8.3,3.2,5.2,20,7,0,0.1,0.1,0.127,-5,6.6,1.6,0
DeMarcus Cousins,C,27,NOP,48,1737,22.6,0.583,0.34,0.456,6.8,30.9,19.2,23,2.2,3.5,18.9,31.9,1.5,3.2,4.7,0.13,1.9,3.6,5.5,3.3
Robert Covington,SF,27,PHI,80,2532,12.9,0.563,0.658,0.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,1.6,4.5,6.1,0.116,0.4,2.1,2.5,2.9
Allen Crabbe,SG,25,BRK,75,2197,12.3,0.558,0.643,0.163,1.3,14.4,7.8,8.4,1,1.2,8.1,19,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7
Torrey Craig,SF,27,DEN,39,629,9.8,0.535,0.423,0.255,7.2,15.5,11.4,5.4,0.9,2,11.6,11.9,0.5,0.4,0.9,0.069,-1.7,-0.8,-2.5,-0.1
Jamal Crawford,SG,37,MIN,80,1653,13,0.519,0.423,0.152,1.4,5.5,3.5,16.9,1.2,0.5,10.7,23.7,0.9,0.3,1.3,0.037,0,-4,-3.9,-0.8
Jordan Crawford,SG,29,NOP,5,53,19.1,0.601,0.519,0.037,4.2,4,4.1,37.7,0.9,1.5,15.4,26.5,0.1,0,0.2,0.15,3.9,-4.8,-0.9,0
Jae Crowder,SF,27,TOT,80,2090,10.4,0.525,0.508,0.221,3.2,11.5,7.4,6.9,1.5,0.9,9.1,17.3,1,1.6,2.6,0.06,-0.8,-0.9,-1.7,0.1
Dante Cunningham,SF,30,TOT,73,1562,10,0.539,0.462,0.143,5.5,14.9,10.3,4.3,1.2,1.5,7.9,11.6,1.1,1.3,2.4,0.074,-1.4,0.1,-1.4,0.2
Stephen Curry,PG,29,GSW,51,1631,28.2,0.675,0.58,0.35,2.7,14.4,9,30.3,2.4,0.4,13.3,31,7.2,1.8,9.1,0.267,9.9,-1.3,8.6,4.4
Troy Daniels,SG,26,PHO,79,1622,9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,1.4,0,1.4,0.042,0.7,-3.6,-2.9,-0.4
Anthony Davis,PF,24,NOP,75,2727,28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,8.8,4.9,13.7,0.241,2.8,2.3,5.2,4.9
Deyonta Davis,C,21,MEM,62,943,16.6,0.621,0,0.215,9,22,15.3,7.1,0.8,3.9,9.9,15.3,1.9,0.8,2.7,0.138,-1.3,0.4,-0.9,0.3
Ed Davis,C,28,POR,78,1471,15.5,0.607,0.003,0.38,13.7,28.8,21.3,3.9,1.1,2.9,16.2,12.1,2.5,2.5,5,0.164,-1.8,1.8,0,0.7
Dewayne Dedmon,C,28,ATL,62,1542,15.8,0.599,0.296,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17,1.8,1.9,3.7,0.114,-1,1.6,0.5,1
Sam Dekker,PF,23,LAC,73,883,11.5,0.534,0.232,0.216,5.6,16,10.8,6.2,1.3,0.9,10.4,15.5,0.6,0.6,1.2,0.066,-2.1,-1,-3.1,-0.2
Malcolm Delaney,PG,28,ATL,54,1014,10.6,0.519,0.435,0.323,1,10,5.5,23.4,1.7,0.5,16.9,16.9,0.4,0.6,1,0.047,-2,-1.5,-3.6,-0.4
Matthew Dellavedova,PG,27,MIL,38,712,8.6,0.5,0.513,0.178,2.3,8.2,5.3,27.4,1,0,23,13.5,0.3,0.2,0.5,0.032,-2.3,-3.6,-5.9,-0.7
Luol Deng,SF,32,LAL,1,13,5.5,0.5,0,0,0,0,0,10.1,3.7,0,33.3,9.8,0,0,0,-0.018,-7.2,-1.3,-8.5,0
DeMar DeRozan,SG,28,TOR,80,2711,21,0.555,0.202,0.396,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6,6.8,2.8,9.6,0.17,2.7,-0.9,1.8,2.6
Cheick Diallo,PF,21,NOP,52,581,17,0.619,0,0.375,9.1,29.6,19.7,4.7,0.9,2.9,12,17.4,1.1,0.8,1.9,0.157,-2.8,-0.3,-3.1,-0.2
Gorgui Dieng,C,28,MIN,79,1333,14.7,0.543,0.157,0.263,9.1,22.2,15.6,7.5,1.7,2.6,12,16.3,1.6,1.3,2.9,0.105,-1,0.6,-0.4,0.5
Spencer Dinwiddie,PG,24,BRK,80,2306,15.9,0.527,0.517,0.32,1.8,10.2,6,35,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.118,2.1,-1.8,0.2,1.3
Tyler Dorsey,SG,21,ATL,56,974,10,0.494,0.521,0.165,2,12.9,7.4,12.5,0.9,0.4,8.3,20,0,0.4,0.4,0.02,-1.8,-2.5,-4.2,-0.5
Damyean Dotson,SG,23,NYK,44,474,11.6,0.532,0.422,0.143,2.1,17.5,9.8,9.5,1.3,0.4,9,17.3,0.3,0.3,0.6,0.06,-1.4,-1.7,-3.1,-0.1
Milton Doyle,SG,24,BRK,10,125,5.2,0.337,0.489,0.17,2.5,12.9,7.6,11.7,2.3,1.2,3.8,18.2,-0.3,0.1,-0.1,-0.052,-5.2,-0.6,-5.8,-0.1
PJ Dozier,PG,21,OKC,2,3,-5,0.5,0,0,0,38.3,18.5,0,0,0,33.3,42.9,0,0,0,-0.404,-23.5,-10.5,-34,0
Goran Dragic,PG,31,MIA,75,2378,16.6,0.543,0.279,0.252,2.5,12,7.2,25.4,1.3,0.4,12.2,25.7,2.9,2.3,5.3,0.106,1,-1.1,-0.1,1.2
Larry Drew,PG,27,TOT,10,70,2.9,0.354,0.375,0,4.8,0,2.3,18.5,0,0,11.1,16.6,-0.1,0,-0.1,-0.061,-5.4,-5.3,-10.7,-0.2
